userId,movieId,rating,timestamp
1,3439,4.0,964981799.0
1,2858,5.0,964980868.0
1,592,4.0,964982271.0
1,216,5.0,964981208.0
1,3740,4.0,964982417.0
1,2716,5.0,964983414.0
1,101,5.0,964980868.0
1,500,3.0,964981208.0
1,2174,4.0,964981680.0
1,3671,5.0,964981589.0
1,3702,5.0,964983737.0
1,2427,5.0,964982242.0
1,50,5.0,964982931.0
1,2033,5.0,964982903.0
1,590,4.0,964982546.0
1,2529,5.0,964982242.0
1,1089,5.0,964982951.0
1,2090,5.0,964982838.0
1,3253,5.0,964981107.0
1,2641,5.0,964982620.0
1,1198,5.0,964981827.0
1,2654,5.0,964983393.0
1,1092,5.0,964983484.0
1,919,5.0,964982475.0
1,2338,2.0,964983546.0
1,733,4.0,964982400.0
1,2046,4.0,964982563.0
1,423,3.0,964982363.0
1,2628,4.0,964980523.0
1,2580,5.0,964983000.0
1,1240,5.0,964983723.0
1,673,3.0,964981775.0
1,2985,4.0,964983034.0
1,943,4.0,964983614.0
1,1408,3.0,964982310.0
1,2948,5.0,964982191.0
1,804,4.0,964980499.0
1,2273,4.0,964982310.0
1,3247,3.0,964983108.0
1,47,5.0,964983815.0
1,1625,5.0,964983504.0
1,1029,5.0,964982855.0
1,2105,4.0,964981725.0
1,3273,5.0,964983536.0
1,2657,3.0,964983426.0
1,3617,4.0,964980683.0
1,1009,3.0,964981775.0
1,2528,3.0,964982328.0
1,1226,5.0,964983618.0
1,593,4.0,964983793.0
1,110,4.0,964982176.0
1,1793,4.0,964981404.0
1,1348,4.0,964983393.0
1,1258,3.0,964983414.0
1,3176,1.0,964983504.0
1,3639,4.0,964982271.0
1,1291,5.0,964981909.0
1,151,5.0,964984041.0
1,231,5.0,964981179.0
1,1060,4.0,964980924.0
1,3033,5.0,964983762.0
1,2096,4.0,964982838.0
1,316,3.0,964982310.0
1,2571,5.0,964981888.0
1,1208,4.0,964983250.0
1,3527,4.0,964982271.0
1,2115,5.0,964982529.0
1,3729,5.0,964982363.0
1,3440,4.0,964981799.0
1,1090,4.0,964984018.0
1,1030,3.0,964982903.0
1,1676,3.0,964982620.0
1,1023,5.0,964982681.0
1,3168,4.0,964982495.0
1,2644,4.0,964983393.0
1,2959,5.0,964983282.0
1,2947,5.0,964982176.0
1,3793,5.0,964981855.0
1,3147,5.0,964983873.0
1,2616,4.0,964983080.0
1,1049,5.0,964982400.0
1,954,5.0,964983219.0
1,1282,5.0,964982703.0
1,362,5.0,964982588.0
1,1042,4.0,964981179.0
1,2478,4.0,964984169.0
1,3703,5.0,964981909.0
